Depth profiles at each cell, TRIGRS, v. 2.1.00a
Finite-depth no-flow boundary
Cell Number, Slope angle, Step#, Time
Z         P      Pzero     Ptran      Pbeta       FS
  1.8000       1.5248      0.25414       20.756       1.5248       1.3468    
  2.0000       1.6943      0.42356       20.746       1.6943       1.2906    
cell           26  29.5           1   172800.00    
  0.0000     -0.50163      -1.1360      0.63435       0.0000       10.000    
 0.20000     -0.35148     -0.98451      0.63304      0.15146       5.3043    
 0.40000     -0.20119     -0.83305      0.63186      0.30293       3.1832    
 0.60000     -0.50759E-01 -0.68159      0.63083      0.45439       2.4761    
 0.80000      0.99808E-01 -0.53012      0.62993      0.60586       2.0447    
  1.0000      0.25051     -0.37866      0.62917      0.75732       1.7540    
  1.2000      0.40135     -0.22720      0.62855      0.90878       1.5602    
  1.4000      0.55234     -0.75732E-01  0.62807       1.0602       1.4217    
  1.6000      0.70345      0.75732E-01  0.62772       1.2117       1.3177    
  1.8000      0.85471      0.22720      0.62752       1.3632       1.2368    
  2.0000       1.0061      0.37866      0.62745       1.5146       1.1721    
cell           26  29.5           2   216000.00    
  0.0000       0.0000      -1.1360       24.112       0.0000       10.000    
 0.20000      0.15146     -0.98451       23.921      0.15146       4.8314    
 0.40000      0.30293     -0.83305       23.750      0.30293       2.7102    
 0.60000      0.45439     -0.68159       23.599      0.45439       2.0032    
 0.80000      0.60586     -0.53012       23.468      0.60586       1.6496    
  1.0000      0.75732     -0.37866       23.357      0.75732       1.4375    
  1.2000      0.90878     -0.22720       23.267      0.90878       1.2961    
  1.4000       1.0602     -0.75732E-01   23.196       1.0602       1.1951    
  1.6000       1.2117      0.75732E-01   23.146       1.2117       1.1193    
  1.8000       1.3632      0.22720       23.115       1.3632       1.0604    
  2.0000       1.5146      0.37866       23.105       1.5146       1.0133    
cell           27  35.0           1   172800.00    
  0.0000     -0.31565     -0.87205      0.55641       0.0000       10.000    
 0.15000     -0.21560     -0.77143      0.55583      0.10062       6.0178    
 0.30000     -0.11549     -0.67081      0.55532      0.20124       3.4379    
 0.45000     -0.15325E-01 -0.57019      0.55486      0.30186       2.5780    
 0.60000      0.84903E-01 -0.46957      0.55447      0.40249       2.0674    
 0.75000      0.18519     -0.36895      0.55414      0.50311       1.7494    
 0.90000      0.28554     -0.26832      0.55386      0.60373       1.5373    
  1.0500      0.38595     -0.16770      0.55365      0.70435       1.3858    
  1.2000      0.48642     -0.67081E-01  0.55350      0.80497       1.2722    
  1.3500      0.58695      0.33541E-01  0.55341      0.90559       1.1837    
  1.5000      0.68754      0.13416      0.55338       1.0062       1.1130    
cell           27  35.0           2   216000.00    
  0.0000       0.0000     -0.87205       35.393       0.0000       10.000    
 0.15000      0.10062     -0.77143       35.250      0.10062       5.6356    
 0.30000      0.20124     -0.67081       35.122      0.20124       3.0558    
 0.45000      0.30186     -0.57019       35.009      0.30186       2.1959    
 0.60000      0.40249     -0.46957       34.911      0.40249       1.7659    
 0.75000      0.50311     -0.36895       34.828      0.50311       1.5079    
 0.90000      0.60373     -0.26832       34.760      0.60373       1.3359    
  1.0500      0.70435     -0.16770       34.707      0.70435       1.2131    
  1.2000      0.80497     -0.67081E-01   34.670      0.80497       1.1209    
  1.3500      0.90559      0.33541E-01   34.647      0.90559       1.0493    
  1.5000       1.0062      0.13416       34.640       1.0062      0.99194    
cell           28  32.5           1   172800.00    
  0.0000     -0.73175      -1.0667      0.33491       0.0000       10.000    
 0.17500     -0.60780     -0.94222      0.33442      0.12444       5.5286    
 0.35000     -0.48381     -0.81778      0.33397      0.24889       3.2359    
 0.52500     -0.35976     -0.69333      0.33358      0.37333       2.4717    
 0.70000     -0.23565     -0.56889      0.33323      0.49778       2.0895    
 0.87500     -0.11150     -0.44444      0.33295      0.62222       1.8603    
  1.0500      0.12710E-01 -0.32000      0.33271      0.74666       1.7003    
  1.2250      0.13697     -0.19556      0.33253      0.87111       1.5322    
  1.4000      0.26128     -0.71111E-01  0.33239      0.99555       1.4061    
  1.5750      0.38565      0.53333E-01  0.33232       1.1200       1.3080    
  1.7500      0.51007      0.17778      0.33229       1.2444       1.2296    
cell           28  32.5           2   216000.00    
  0.0000       0.0000      -1.0667       28.682       0.0000       10.000    
 0.17500      0.12444     -0.94222       28.515      0.12444       5.1086    
 0.35000      0.24889     -0.81778       28.366      0.24889       2.8159    
 0.52500      0.37333     -0.69333       28.234      0.37333       2.0516    
 0.70000      0.49778     -0.56889       28.120      0.49778       1.6695    
 0.87500      0.62222     -0.44444       28.024      0.62222       1.4402    
  1.0500      0.74666     -0.32000       27.945      0.74666       1.2874    
  1.2250      0.87111     -0.19556       27.883      0.87111       1.1782    
  1.4000      0.99555     -0.71111E-01   27.839      0.99555       1.0963    
  1.5750       1.1200      0.53333E-01   27.813       1.1200       1.0326    
  1.7500       1.2444      0.17778       27.804       1.2444      0.98169    
cell           29  32.5           1   172800.00    
  0.0000     -0.73175      -1.0667      0.33491       0.0000       10.000    
 0.17500     -0.60780     -0.94222      0.33442      0.12444       5.5286    
 0.35000     -0.48381     -0.81778      0.33397      0.24889       3.2359    
 0.52500     -0.35976     -0.69333      0.33358      0.37333       2.4717    
 0.70000     -0.23565     -0.56889      0.33323      0.49778       2.0895    
 0.87500     -0.11150     -0.44444      0.33295      0.62222       1.8603    
  1.0500      0.12710E-01 -0.32000      0.33271      0.74666       1.7003    
  1.2250      0.13697     -0.19556      0.33253      0.87111       1.5322    
  1.4000      0.26128     -0.71111E-01  0.33239      0.99555       1.4061    
  1.5750      0.38565      0.53333E-01  0.33232       1.1200       1.3080    
  1.7500      0.51007      0.17778      0.33229       1.2444       1.2296    
cell           29  32.5           2   216000.00    
  0.0000       0.0000      -1.0667       28.682       0.0000       10.000    
 0.17500      0.12444     -0.94222       28.515      0.12444       5.1086    
 0.35000      0.24889     -0.81778       28.366      0.24889       2.8159    
 0.52500      0.37333     -0.69333       28.234      0.37333       2.0516    
 0.70000      0.49778     -0.56889       28.120      0.49778       1.6695    
 0.87500      0.62222     -0.44444       28.024      0.62222       1.4402    
  1.0500      0.74666     -0.32000       27.945      0.74666       1.2874    
  1.2250      0.87111     -0.19556       27.883      0.87111       1.1782    
  1.4000      0.99555     -0.71111E-01   27.839      0.99555       1.0963    
  1.5750       1.1200      0.53333E-01   27.813       1.1200       1.0326    
  1.7500       1.2444      0.17778       27.804       1.2444      0.98169    
cell           30  31.0           1   172800.00    
  0.0000     -0.80283      -1.1018      0.29898       0.0000       10.000    
 0.19000     -0.66381     -0.96224      0.29844      0.13956       5.3352    
 0.38000     -0.52473     -0.82268      0.29795      0.27912       3.1676    
 0.57000     -0.38559     -0.68312      0.29752      0.41869       2.4451    
 0.76000     -0.24640     -0.54356      0.29715      0.55825       2.0838    
 0.95000     -0.10715     -0.40399      0.29684      0.69781       1.8670    
  1.1400      0.32151E-01 -0.26443      0.29658      0.83737       1.7054    
  1.3300      0.17151     -0.12487      0.29638      0.97693       1.5411    
  1.5200      0.31093      0.14691E-01  0.29624       1.1165       1.4179    
  1.7100      0.45041      0.15425      0.29616       1.2561       1.3220    
  1.9000      0.58994      0.29381      0.29613       1.3956       1.2453    
cell           30  31.0           2   216000.00    
  0.0000       0.0000      -1.1018       25.689       0.0000       10.000    
 0.19000      0.13956     -0.96224       25.508      0.13956       4.8899    
 0.38000      0.27912     -0.82268       25.346      0.27912       2.7223    
 0.57000      0.41869     -0.68312       25.203      0.41869       1.9997    
 0.76000      0.55825     -0.54356       25.079      0.55825       1.6385    
 0.95000      0.69781     -0.40399       24.974      0.69781       1.4217    
  1.1400      0.83737     -0.26443       24.888      0.83737       1.2772    
  1.3300      0.97693     -0.12487       24.822      0.97693       1.1740    
  1.5200       1.1165      0.14691E-01   24.774       1.1165       1.0966    
  1.7100       1.2561      0.15425       24.745       1.2561       1.0364    
  1.9000       1.3956      0.29381       24.736       1.3956      0.98819    
cell           31  21.8           1   172800.00    
  0.0000       0.0000     -0.99313       1.2472       0.0000       10.000    
 0.20000      0.13242     -0.86071       1.0582      0.13242       3.4587    
 0.40000      0.16284     -0.72829      0.89113      0.26483       2.5359    
 0.60000      0.14987     -0.59588      0.74575      0.39725       2.2937    
 0.80000      0.15810     -0.46346      0.62156      0.52967       2.1486    
  1.0000      0.18696     -0.33104      0.51800      0.66209       2.0429    
  1.2000      0.23582     -0.19863      0.43444      0.79450       1.9574    
  1.4000      0.30404     -0.66209E-01  0.37025      0.92692       1.8838    
  1.6000      0.39107      0.66209E-01  0.32486       1.0593       1.8179    
  1.8000      0.49645      0.19863      0.29782       1.1918       1.7575    
  2.0000      0.61989      0.33104      0.28884       1.3242       1.7010    
cell           31  21.8           2   216000.00    
  0.0000       0.0000     -0.99313       1.4084       0.0000       10.000    
 0.20000      0.13242     -0.86071       1.2189      0.13242       3.4587    
 0.40000      0.26483     -0.72829       1.0503      0.26483       2.3052    
 0.60000      0.30662     -0.59588      0.90250      0.39725       2.0573    
 0.80000      0.31180     -0.46346      0.77526      0.52967       1.9748    
  1.0000      0.33729     -0.33104      0.66833      0.66209       1.9069    
  1.2000      0.38277     -0.19863      0.58140      0.79450       1.8466    
  1.4000      0.44796     -0.66209E-01  0.51417      0.92692       1.7908    
  1.6000      0.53257      0.66209E-01  0.46636       1.0593       1.7379    
  1.8000      0.63640      0.19863      0.43777       1.1918       1.6871    
  2.0000      0.75930      0.33104      0.42826       1.3242       1.6379    
cell           32  23.0           1   172800.00    
  0.0000     -0.77728      -1.2707      0.49342       0.0000       10.000    
 0.20000     -0.60899      -1.1013      0.49228      0.16943       6.4707    
 0.40000     -0.44058     -0.93184      0.49126      0.33885       3.9431    
 0.60000     -0.27206     -0.76242      0.49036      0.50828       3.1006    
 0.80000     -0.10341     -0.59299      0.48958      0.67770       2.6793    
  1.0000      0.65353E-01 -0.42356      0.48892      0.84713       2.3779    
  1.2000      0.23424     -0.25414      0.48838       1.0166       2.1128    
  1.4000      0.40324     -0.84713E-01  0.48796       1.1860       1.9234    
  1.6000      0.57237      0.84713E-01  0.48766       1.3554       1.7812    
  1.8000      0.74162      0.25414      0.48748       1.5248       1.6706    
  2.0000      0.91098      0.42356      0.48742       1.6943       1.5821    
cell           32  23.0           2   216000.00    
  0.0000       0.0000      -1.2707       21.554       0.0000       10.000    
 0.20000      0.16943      -1.1013       21.362      0.16943       5.8403    
 0.40000      0.33885     -0.93184       21.191      0.33885       3.3127    
 0.60000      0.50828     -0.76242       21.041      0.50828       2.4702    
 0.80000      0.67770     -0.59299       20.910      0.67770       2.0489    
  1.0000      0.84713     -0.42356       20.799      0.84713       1.7962    
  1.2000       1.0166     -0.25414       20.709       1.0166       1.6277    
  1.4000       1.1860     -0.84713E-01   20.638       1.1860       1.5073    
  1.6000       1.3554      0.84713E-01   20.588       1.3554       1.4170    
  1.8000       1.5248      0.25414       20.558       1.5248       1.3468    
  2.0000       1.6943      0.42356       20.548       1.6943       1.2906    
cell           33  26.6           1   172800.00    
  0.0000     -0.61978      -1.1990      0.57919       0.0000       10.000    
 0.20000     -0.46118      -1.0391      0.57792      0.15986       5.7412    
 0.40000     -0.30245     -0.87924      0.57679      0.31972       3.4705    
 0.60000     -0.14359     -0.71938      0.57580      0.47959       2.7137    
 0.80000      0.15413E-01 -0.55952      0.57493      0.63945       2.3223    
  1.0000      0.17454     -0.39966      0.57420      0.79931       1.9915    
  1.2000      0.33381     -0.23979      0.57360      0.95917       1.7708    
  1.4000      0.49321     -0.79931E-01  0.57314       1.1190       1.6131    
  1.6000      0.65274      0.79931E-01  0.57280       1.2789       1.4948    
  1.8000      0.81240      0.23979      0.57260       1.4388       1.4028    
  2.0000      0.97219      0.39966      0.57254       1.5986       1.3291    
cell           33  26.6           2   216000.00    
  0.0000       0.0000      -1.1990       22.859       0.0000       10.000    
 0.20000      0.15986      -1.0391       22.668      0.15986       5.2068    
 0.40000      0.31972     -0.87924       22.497      0.31972       2.9362    
 0.60000      0.47959     -0.71938       22.346      0.47959       2.1793    
 0.80000      0.63945     -0.55952       22.215      0.63945       1.8009    
  1.0000      0.79931     -0.39966       22.104      0.79931       1.5738    
  1.2000      0.95917     -0.23979       22.013      0.95917       1.4224    
  1.4000       1.1190     -0.79931E-01   21.943       1.1190       1.3143    
  1.6000       1.2789      0.79931E-01   21.893       1.2789       1.2332    
  1.8000       1.4388      0.23979       21.862       1.4388       1.1701    
  2.0000       1.5986      0.39966       21.852       1.5986       1.1197    
cell           34  23.0           1   172800.00    
  0.0000     -0.75321      -1.2707      0.51748       0.0000       10.000    
 0.20000     -0.58498      -1.1013      0.51629      0.16943       6.4707    
 0.40000     -0.41663     -0.93184      0.51522      0.33885       3.9431    
 0.60000     -0.24814     -0.76242      0.51427      0.50828       3.1006    
 0.80000     -0.79535E-01 -0.59299      0.51346      0.67770       2.6793    
  1.0000      0.89198E-01 -0.42356      0.51276      0.84713       2.3602    
  1.2000      0.25806     -0.25414      0.51220       1.0166       2.0980    
  1.4000      0.42704     -0.84713E-01  0.51176       1.1860       1.9107    
  1.6000      0.59615      0.84713E-01  0.51144       1.3554       1.7702    
  1.8000      0.76539      0.25414      0.51125       1.5248       1.6608    
  2.0000      0.93475      0.42356      0.51119       1.6943       1.5732    
cell           34  23.0           2   216000.00    
  0.0000       0.0000      -1.2707       21.578       0.0000       10.000    
 0.20000      0.16943      -1.1013       21.386      0.16943       5.8403    
 0.40000      0.33885     -0.93184       21.215      0.33885       3.3127    
 0.60000      0.50828     -0.76242       21.064      0.50828       2.4702    
 0.80000      0.67770     -0.59299       20.934      0.67770       2.0489    
  1.0000      0.84713     -0.42356       20.823      0.84713       1.7962    
  1.2000       1.0166     -0.25414       20.732       1.0166       1.6277    
  1.4000       1.1860     -0.84713E-01   20.662       1.1860       1.5073    
  1.6000       1.3554      0.84713E-01   20.612       1.3554       1.4170    
  1.8000       1.5248      0.25414       20.581       1.5248       1.3468    
  2.0000       1.6943      0.42356       20.571       1.6943       1.2906    
cell           35  29.5           1   172800.00    
  0.0000     -0.86024      -1.1360      0.27574       0.0000       10.000    
 0.20000     -0.70935     -0.98451      0.27517      0.15146       5.3043    
 0.40000     -0.55840     -0.83305      0.27466      0.30293       3.1832    
 0.60000     -0.40738     -0.68159      0.27421      0.45439       2.4761    
 0.80000     -0.25631     -0.53012      0.27382      0.60586       2.1226    
  1.0000     -0.10517     -0.37866      0.27349      0.75732       1.9105    
  1.2000      0.46020E-01 -0.22720      0.27322      0.90878       1.7451    
  1.4000      0.19727     -0.75732E-01  0.27301       1.0602       1.5801    
  1.6000      0.34859      0.75732E-01  0.27286       1.2117       1.4562    
  1.8000      0.49996      0.22720      0.27277       1.3632       1.3599    
  2.0000      0.65140      0.37866      0.27274       1.5146       1.2828    
cell           35  29.5           2   216000.00    
  0.0000       0.0000      -1.1360       23.754       0.0000       10.000    
 0.20000      0.15146     -0.98451       23.563      0.15146       4.8314    
 0.40000      0.30293     -0.83305       23.393      0.30293       2.7102    
 0.60000      0.45439     -0.68159       23.242      0.45439       2.0032    
 0.80000      0.60586     -0.53012       23.112      0.60586       1.6496    
  1.0000      0.75732     -0.37866       23.001      0.75732       1.4375    
  1.2000      0.90878     -0.22720       22.911      0.90878       1.2961    
  1.4000       1.0602     -0.75732E-01   22.841       1.0602       1.1951    
  1.6000       1.2117      0.75732E-01   22.791       1.2117       1.1193    
  1.8000       1.3632      0.22720       22.761       1.3632       1.0604    
  2.0000       1.5146      0.37866       22.751       1.5146       1.0133    
cell           36  32.5           1   172800.00    
  0.0000     -0.73175      -1.0667      0.33491       0.0000       10.000    
 0.17500     -0.60780     -0.94222      0.33442      0.12444       5.5286    
 0.35000     -0.48381     -0.81778      0.33397      0.24889       3.2359    
 0.52500     -0.35976     -0.69333      0.33358      0.37333       2.4717    
 0.70000     -0.23565     -0.56889      0.33323      0.49778       2.0895    
 0.87500     -0.11150     -0.44444      0.33295      0.62222       1.8603    
  1.0500      0.12710E-01 -0.32000      0.33271      0.74666       1.7003    
  1.2250      0.13697     -0.19556      0.33253      0.87111       1.5322    
  1.4000      0.26128     -0.71111E-01  0.33239      0.99555       1.4061    
  1.5750      0.38565      0.53333E-01  0.33232       1.1200       1.3080    
  1.7500      0.51007      0.17778      0.33229       1.2444       1.2296    
cell           36  32.5           2   216000.00    
  0.0000       0.0000      -1.0667       28.682       0.0000       10.000    
 0.17500      0.12444     -0.94222       28.515      0.12444       5.1086    
 0.35000      0.24889     -0.81778       28.366      0.24889       2.8159    
 0.52500      0.37333     -0.69333       28.234      0.37333       2.0516    
 0.70000      0.49778     -0.56889       28.120      0.49778       1.6695    
 0.87500      0.62222     -0.44444       28.024      0.62222       1.4402    
  1.0500      0.74666     -0.32000       27.945      0.74666       1.2874    
  1.2250      0.87111     -0.19556       27.883      0.87111       1.1782    
  1.4000      0.99555     -0.71111E-01   27.839      0.99555       1.0963    
  1.5750       1.1200      0.53333E-01   27.813       1.1200       1.0326    
  1.7500       1.2444      0.17778       27.804       1.2444      0.98169    
cell           37  32.5           1   172800.00    
  0.0000     -0.73175      -1.0667      0.33491       0.0000       10.000    
 0.17500     -0.60780     -0.94222      0.33442      0.12444       5.5286    
 0.35000     -0.48381     -0.81778      0.33397      0.24889       3.2359    
 0.52500     -0.35976     -0.69333      0.33358      0.37333       2.4717    
 0.70000     -0.23565     -0.56889      0.33323      0.49778       2.0895    
 0.87500     -0.11150     -0.44444      0.33295      0.62222       1.8603    
  1.0500      0.12710E-01 -0.32000      0.33271      0.74666       1.7003    
  1.2250      0.13697     -0.19556      0.33253      0.87111       1.5322    
  1.4000      0.26128     -0.71111E-01  0.33239      0.99555       1.4061    
  1.5750      0.38565      0.53333E-01  0.33232       1.1200       1.3080    
  1.7500      0.51007      0.17778      0.33229       1.2444       1.2296    
cell           37  32.5           2   216000.00    
  0.0000       0.0000      -1.0667       28.682       0.0000       10.000    
 0.17500      0.12444     -0.94222       28.515      0.12444       5.1086    
 0.35000      0.24889     -0.81778       28.366      0.24889       2.8159    
 0.52500      0.37333     -0.69333       28.234      0.37333       2.0516    
 0.70000      0.49778     -0.56889       28.120      0.49778       1.6695    
 0.87500      0.62222     -0.44444       28.024      0.62222       1.4402    
  1.0500      0.74666     -0.32000       27.945      0.74666       1.2874    
  1.2250      0.87111     -0.19556       27.883      0.87111       1.1782    
  1.4000      0.99555     -0.71111E-01   27.839      0.99555       1.0963    
  1.5750       1.1200      0.53333E-01   27.813       1.1200       1.0326    
  1.7500       1.2444      0.17778       27.804       1.2444      0.98169    
cell           38  35.0           1   172800.00    
  0.0000     -0.45852     -0.87205      0.41354       0.0000       10.000    
 0.15000     -0.35832     -0.77143      0.41311      0.10062       6.0178    
 0.30000     -0.25808     -0.67081      0.41273      0.20124       3.4379    
 0.45000     -0.15780     -0.57019      0.41239      0.30186       2.5780    
 0.60000     -0.57471E-01 -0.46957      0.41210      0.40249       2.1480    
 0.75000      0.42903E-01 -0.36895      0.41185      0.50311       1.8575    
 0.90000      0.14332     -0.26832      0.41165      0.60373       1.6273    
  1.0500      0.24379     -0.16770      0.41149      0.70435       1.4629    
  1.2000      0.34429     -0.67081E-01  0.41138      0.80497       1.3396    
  1.3500      0.44485      0.33541E-01  0.41131      0.90559       1.2437    
  1.5000      0.54545      0.13416      0.41129       1.0062       1.1669    
cell           38  35.0           2   216000.00    
  0.0000       0.0000     -0.87205       35.250       0.0000       10.000    
 0.15000      0.10062     -0.77143       35.107      0.10062       5.6356    
 0.30000      0.20124     -0.67081       34.979      0.20124       3.0558    
 0.45000      0.30186     -0.57019       34.866      0.30186       2.1959    
 0.60000      0.40249     -0.46957       34.768      0.40249       1.7659    
 0.75000      0.50311     -0.36895       34.686      0.50311       1.5079    
 0.90000      0.60373     -0.26832       34.618      0.60373       1.3359    
  1.0500      0.70435     -0.16770       34.565      0.70435       1.2131    
  1.2000      0.80497     -0.67081E-01   34.528      0.80497       1.1209    
  1.3500      0.90559      0.33541E-01   34.505      0.90559       1.0493    
  1.5000       1.0062      0.13416       34.498       1.0062      0.99194    
cell           39  26.6           1   172800.00    
  0.0000     -0.93761      -1.1990      0.26136       0.0000       10.000    
 0.20000     -0.77832      -1.0391      0.26079      0.15986       5.7412    
 0.40000     -0.61896     -0.87924      0.26028      0.31972       3.4705    
 0.60000     -0.45955     -0.71938      0.25983      0.47959       2.7137    
 0.80000     -0.30008     -0.55952      0.25944      0.63945       2.3352    
  1.0000     -0.14055     -0.39966      0.25911      0.79931       2.1082    
  1.2000      0.19045E-01 -0.23979      0.25884      0.95917       1.9462    
  1.4000      0.17870     -0.79931E-01  0.25863       1.1190       1.7633    
  1.6000      0.33841      0.79931E-01  0.25848       1.2789       1.6262    
  1.8000      0.49818      0.23979      0.25839       1.4388       1.5195    
  2.0000      0.65801      0.39966      0.25836       1.5986       1.4341    
cell           39  26.6           2   216000.00    
  0.0000       0.0000      -1.1990       22.541       0.0000       10.000    
 0.20000      0.15986      -1.0391       22.351      0.15986       5.2068    
 0.40000      0.31972     -0.87924       22.180      0.31972       2.9362    
 0.60000      0.47959     -0.71938       22.030      0.47959       2.1793    
 0.80000      0.63945     -0.55952       21.899      0.63945       1.8009    
  1.0000      0.79931     -0.39966       21.789      0.79931       1.5738    
  1.2000      0.95917     -0.23979       21.699      0.95917       1.4224    
  1.4000       1.1190     -0.79931E-01   21.628       1.1190       1.3143    
  1.6000       1.2789      0.79931E-01   21.578       1.2789       1.2332    
  1.8000       1.4388      0.23979       21.548       1.4388       1.1701    
  2.0000       1.5986      0.39966       21.538       1.5986       1.1197    
cell           40  21.8           1   172800.00    
  0.0000      -1.0503      -1.2928      0.24253       0.0000       10.000    
 0.20000     -0.87849      -1.1205      0.24196      0.17238       6.7753    
 0.40000     -0.70662     -0.94807      0.24145      0.34475       4.1388    
 0.60000     -0.53469     -0.77570      0.24100      0.51713       3.2599    
 0.80000     -0.36271     -0.60332      0.24061      0.68951       2.8205    
  1.0000     -0.19066     -0.43094      0.24028      0.86189       2.5569    
  1.2000     -0.18553E-01 -0.25857      0.24001       1.0343       2.3811    
  1.4000      0.15361     -0.86189E-01  0.23980       1.2066       2.1704    
  1.6000      0.32584      0.86189E-01  0.23965       1.3790       2.0033    
  1.8000      0.49813      0.25857      0.23956       1.5514       1.8733    
  2.0000      0.67048      0.43094      0.23953       1.7238       1.7693    
cell           40  21.8           2   216000.00    
  0.0000       0.0000      -1.2928       20.954       0.0000       10.000    
 0.20000      0.17238      -1.1205       20.763      0.17238       6.1062    
 0.40000      0.34475     -0.94807       20.593      0.34475       3.4697    
 0.60000      0.51713     -0.77570       20.442      0.51713       2.5909    
 0.80000      0.68951     -0.60332       20.312      0.68951       2.1515    
  1.0000      0.86189     -0.43094       20.201      0.86189       1.8878    
  1.2000       1.0343     -0.25857       20.111       1.0343       1.7121    
  1.4000       1.2066     -0.86189E-01   20.041       1.2066       1.5865    
  1.6000       1.3790      0.86189E-01   19.991       1.3790       1.4924    
  1.8000       1.5514      0.25857       19.961       1.5514       1.4191    
  2.0000       1.7238      0.43094       19.951       1.7238       1.3605    
cell           41  23.0           1   172800.00    
  0.0000     -0.36605      -1.2707      0.90465       0.0000       10.000    
 0.20000     -0.19871      -1.1013      0.90256      0.16943       6.4707    
 0.40000     -0.31155E-01 -0.93184      0.90069      0.33885       3.9431    
 0.60000      0.13662     -0.76242      0.89904      0.50828       2.9311    
 0.80000      0.30462     -0.59299      0.89761      0.67770       2.3960    
  1.0000      0.47283     -0.42356      0.89640      0.84713       2.0747    
  1.2000      0.64127     -0.25414      0.89541       1.0166       1.8604    
  1.4000      0.80992     -0.84713E-01  0.89464       1.1860       1.7072    
  1.6000      0.97880      0.84713E-01  0.89409       1.3554       1.5922    
  1.8000       1.1479      0.25414      0.89376       1.5248       1.5026    
  2.0000       1.3172      0.42356      0.89365       1.6943       1.4309    
cell           41  23.0           2   216000.00    
  0.0000       0.0000      -1.2707       21.965       0.0000       10.000    
 0.20000      0.16943      -1.1013       21.773      0.16943       5.8403    
 0.40000      0.33885     -0.93184       21.601      0.33885       3.3127    
 0.60000      0.50828     -0.76242       21.449      0.50828       2.4702    
 0.80000      0.67770     -0.59299       21.318      0.67770       2.0489    
  1.0000      0.84713     -0.42356       21.207      0.84713       1.7962    
  1.2000       1.0166     -0.25414       21.116       1.0166       1.6277    
  1.4000       1.1860     -0.84713E-01   21.045       1.1860       1.5073    
  1.6000       1.3554      0.84713E-01   20.994       1.3554       1.4170    
  1.8000       1.5248      0.25414       20.964       1.5248       1.3468    
  2.0000       1.6943      0.42356       20.954       1.6943       1.2906    
cell           42  26.6           1   172800.00    
  0.0000     -0.93761      -1.1990      0.26136       0.0000       10.000    
 0.20000     -0.77832      -1.0391      0.26079      0.15986       5.7412    
 0.40000     -0.61896     -0.87924      0.26028      0.31972       3.4705    
 0.60000     -0.45955     -0.71938      0.25983      0.47959       2.7137    
 0.80000     -0.30008     -0.55952      0.25944      0.63945       2.3352    
  1.0000     -0.14055     -0.39966      0.25911      0.79931       2.1082    
  1.2000      0.19045E-01 -0.23979      0.25884      0.95917       1.9462    
  1.4000      0.17870     -0.79931E-01  0.25863       1.1190       1.7633    
  1.6000      0.33841      0.79931E-01  0.25848       1.2789       1.6262    
  1.8000      0.49818      0.23979      0.25839       1.4388       1.5195    
  2.0000      0.65801      0.39966      0.25836       1.5986       1.4341    
cell           42  26.6           2   216000.00    
  0.0000       0.0000      -1.1990       22.541       0.0000       10.000    
 0.20000      0.15986      -1.0391       22.351      0.15986       5.2068    
 0.40000      0.31972     -0.87924       22.180      0.31972       2.9362    
 0.60000      0.47959     -0.71938       22.030      0.47959       2.1793    
 0.80000      0.63945     -0.55952       21.899      0.63945       1.8009    
  1.0000      0.79931     -0.39966       21.789      0.79931       1.5738    
  1.2000      0.95917     -0.23979       21.699      0.95917       1.4224    
  1.4000       1.1190     -0.79931E-01   21.628       1.1190       1.3143    
  1.6000       1.2789      0.79931E-01   21.578       1.2789       1.2332    
  1.8000       1.4388      0.23979       21.548       1.4388       1.1701    
  2.0000       1.5986      0.39966       21.538       1.5986       1.1197    
cell           43  26.3           1   172800.00    
  0.0000     -0.94522      -1.2052      0.26001       0.0000       10.000    
 0.20000     -0.78509      -1.0445      0.25944      0.16070       5.7932    
 0.40000     -0.62491     -0.88384      0.25893      0.32140       3.5045    
 0.60000     -0.46466     -0.72314      0.25848      0.48209       2.7416    
 0.80000     -0.30435     -0.56244      0.25809      0.64279       2.3601    
  1.0000     -0.14398     -0.40174      0.25776      0.80349       2.1312    
  1.2000      0.16444E-01 -0.24105      0.25749      0.96419       1.9694    
  1.4000      0.17693     -0.80349E-01  0.25728       1.1249       1.7845    
  1.6000      0.33748      0.80349E-01  0.25713       1.2856       1.6458    
  1.8000      0.49809      0.24105      0.25704       1.4463       1.5379    
  2.0000      0.65875      0.40174      0.25701       1.6070       1.4515    
cell           43  26.3           2   216000.00    
  0.0000       0.0000      -1.2052       22.428       0.0000       10.000    
 0.20000      0.16070      -1.0445       22.237      0.16070       5.2517    
 0.40000      0.32140     -0.88384       22.066      0.32140       2.9630    
 0.60000      0.48209     -0.72314       21.916      0.48209       2.2001    
 0.80000      0.64279     -0.56244       21.786      0.64279       1.8187    
  1.0000      0.80349     -0.40174       21.675      0.80349       1.5898    
  1.2000      0.96419     -0.24105       21.585      0.96419       1.4372    
  1.4000       1.1249     -0.80349E-01   21.515       1.1249       1.3282    
  1.6000       1.2856      0.80349E-01   21.465       1.2856       1.2465    
  1.8000       1.4463      0.24105       21.435       1.4463       1.1829    
  2.0000       1.6070      0.40174       21.425       1.6070       1.1321    
cell           44  32.5           1   172800.00    
  0.0000     -0.73175      -1.0667      0.33491       0.0000       10.000    
 0.17500     -0.60780     -0.94222      0.33442      0.12444       5.5286    
 0.35000     -0.48381     -0.81778      0.33397      0.24889       3.2359    
